1	He washed his matted hair, he cleaned his gear;
2	he shook his locks down over his back.
3	He threw off his filthy things, put on his clean;
4	he wrapped himself in mantles, tied on the sash.
5	Gilgameš set the crown on his head —
6	and on the beauty of Gilgameš princess Ištar lifted her eyes.
7	"Come, Gilgameš. You be the bridegroom.
8	Grant me your fruit — a gift, a granting.
9	You be my husband, and I will be your wife.
10	I will harness for you a chariot of lapis and gold,
11	its wheels of gold, its horns of amber.
12	You will drive in harness great mules that are storms.
13	Enter our house through the fragrance of cedar.
14	When you come into our house,
15	may the splendid doorjamb kiss your feet.
16	May kings, grandees, and princes kneel beneath you;
17	may [all the yi]eld of mountain and lowland come to you as tribute.
18	May your goats drop triplets, your ewes twins;
19	may your foal under its load outgo a mule;
20	may your horse at the chariot be proud in the gallop;
21	may your ox in the yoke have no rival."
22	[Gilgameš] shaped his mouth to speak,
23	[say]ing to princess Ištar:
24	"[And if] I take you in marriage —
25	[ ... ] my body and my clothing,
26	[ ... ] my food and my keep?
27	[Would you feed me br]ead fit [for] a god,
28	[pour me ale] fit for a king?
29	[ ... let me] bind(?);
30	[ ... ] let me heap up.
31	[ ... you are wr]apped in a mantle(?) —
32	[what would I get, if] I take you?
33	[You are a hearth that will not ho]ld against ice,
34	a back-door of reed-mat [that will not st]op wind or draught,
35	a palace that crush[es] its own fighting men,
36	an elephant [that shakes off] its housings,
37	pitch that black[ens the hands(?)] of its carrier,
38	a waterskin that soa[ks] its carrier,
39	limestone that [cracks(?)] the stone rampart,
40	a battering-ram that wreck[s] the w[all(?)] of the allied land,
41	a shoe that bites the feet of its owner.
42	Which bridegroom of yours end[u]red for ever?
43	Which brave of yours [ever] went up [to the heavens?]
44	Come, let me tell over [the tal]e of your lovers —
45	of the shoulder [ ... ] his arm:
46	For Dumuzi, the darling of your yo[ut]h,
47	year upon year you decreed the weeping.
48	You loved the speckled roller-bird:
49	you struck him and snapped his wing —
50	now he stands in the woods crying 'My wing!'
51	You loved the lion, perfect in strength:
52	you dug for him pits, seven and seven.
53	You loved the horse, glorious in battle:
54	you decreed for him whip, goad, and lash;
55	you decreed for him a seven-league gallop;
56	you decreed for him churned water for drink;
57	for his mother Silili you decreed perpetual weeping.
58	You loved the shepherd, the herdsman, the master of flocks,
59	[who] al[wa]ys heaped up embers for you,
60	slaughtering kids for you [da]y after day:
61	[you str]uck him and turned him into a wolf —
62	now his own shepherd-boys drive him off,
63	and his own dogs take bites at his thighs.
64	You loved Išullānu, your father's date-gardener,
65	who always brought you baskets of dates,
66	brightening your table day after day.
67	You lifted your eye to him and went to him:
68	'My own Išullānu, let us taste your strength:
69	put out your hand and stroke our sweet place!'
70	Išullānu says to you:
71	'I? What is it you want of me?
72	Has my mother not baked? Have I not eaten,
73	that I should eat the bread of slanders and curses,
74	with esparto-grass my only cover against the cold?'
75	You — you heard this speech of his:
76	you struck him and tu[rned him] into a dwarf(?);
77	you set him down in the middle of [his] gard[en-plot:]
78	no bucket-pole goes up; no [bucket(?)] comes down [ ... ]
79	And me? You will love me, and [use me] like them!"
