0	["My friend, I have seen a third —"]
a+1'	[ ... ] its [c]ry [ ... ]
a+3'	"[ ... she was cr]owned with a numbing gl[are;]
a+4'	[ ... ] from(?) [her] bod[y ... ]
a+5'	[ ... ] with [ ... ]
a+6'	[ ... a certa]in young man, strange of b[uild,]
a+7'	[ ... dr]ew near to [my] pre[sence(?);]
a+8'	[ ... ] the s[un(?)] came out;
a+9'	[ ... be]hind him [ ... ]
a+10'	[ ... ] the lig[ht of the sun(?);]
a+11'	[ ... ] turned into [ ... ]"
b+3'	Enkidu [unravels] the drea[m, saying to Gilgameš:]
b+4'	"Seven terror-glor[ies ... ]
b+5'	He will see y[ou ... ]
b+6'	Above, the s[un(?) ... ]
b+7'	and the one y[ou] saw [ ... ]
b+8'	in [ ... ]"
c+2'	"Your dream is go[od ... ]"
c+3'	Gilgameš [shaped his mouth ... :]
c+4'	"Co[me, my friend ... ]"
d+2'	Enkidu [ ... ]
d+5'	they carry [ ... ]
d+8'	like [ ... ]
e+3'	"[ ... ] is goo[d ... ]"
g+2'	[He rose and sp]oke to [his] fri[end:]
g+4'	[ ... ] in the morni[ng]
h+1'	"My frie[nd ... ]"
