1	[At twenty] leagues they broke off a morsel;
2	[at thir]ty leagues they set up the night's camp;
3	[fifty le]agues they went in a full day —
4	[a march of a mon]th and a half in three days — and drew near Mount Lebanon.
5	[Facing the sun they d]ug [a well;]
6	[water ... they set in ... ]
7	[Gilgameš went up onto the mountain;]
8	[he poured out his flour-offering to the uplands:]
9	["Mountain, bring me a dream: let me see a good word of Šamaš!"]
10	[Enkidu made for him, for Gilgameš, a house of the dream-god;]
11	[he fixed a storm-door in its doorway;]
12	[he laid him down inside a circle ... a drawn design,]
13	[and he himself, like a dragnet ... , sprawled across its doorway.]
14	[Gilgameš propped his chin on his knees;]
15	[sleep, which spills over people, fell upon him.]
16	[In the middle watch he came to the end of his sleep;]
17	[he rose and spoke to his friend:]
18	["My friend, did you not call me? Why am I awake?]
19	[Did you not touch me? Why am I startled?]
20	[Did a god not pass? Why is my flesh gone numb?]
21	[My friend, I have seen the first dream —]
22	[and the dr]eam I s[aw was altogether a tangle:]
23	[in a ra]vine of the mountain [ ... ]
24	[the mount]ain fell dow[n on ... ]
25	[and w]e, like [flies(?) ... ]"
26	The one born in the open la[nd knew how to counsel:]
27	Enkidu [spo]ke to his friend, [gave his dream its meaning:]
28	"My [f]riend, your drea[m] is good; [ ... is favorable.]
29	The [d]ream is precious [ ... ]
30	My [f]riend, the mountain you saw [ ... :]
31	we will seize Humbaba; we will str[ike him down,]
32	and we will th[row] his corpse on the wasteland,
33	and at daybreak [we will see] a good wo[rd of Šamaš."]
34	At twenty leagues they br[oke off a morsel;]
35	at thirty leagues they set up [the night's camp;]
36	fifty leagues they went in a full [day —]
37	a march of a mon[th and] a half in three days — and drew near Mount [Lebanon.]
38	[Fac]ing the sun they dug a well;
39	wa[ter ... they set in ... ]
40	Gilgameš went up on[to the mountain;]
41	he poured out his [fl]our-offering [to the uplands:]
42	"[M]ountain, bring me a drea[m: let me see a good word of Šamaš!"]
43	E[nkidu] made for him [a house of the dream-god;]
44	[he fixed a storm-door in its doorway;]
45	[he laid him down inside a circle ... a drawn design,]
46	[and he himself, like a dragnet ... , sprawled across its doorway.]
47	[Gilgameš propped his chin on his knees;]
48	[sleep, which spills over people, fell upon him.]
49	[In the middle watch he came to the end of his sleep;]
50	[he rose and spoke to his friend:]
51	["My friend, did you not call me? Why am I awake?]
52	[Did you not touch me? Why am I startled?]
53	[Did a god not pass? Why is my flesh gone numb?]
54	[My friend, I have seen a second dream,]
55	[and the dream I saw was altogether a tangle.]
70	"[ ... H]umbaba
71	[ ... ] whose shortness is (his) length(?),
72	[ ... ] broad and narrow —
73	[ ... ] Humbaba like a child(?) grew hot(?),
74	[ ... ] over him
78	[and at daybreak we will see a good word of Šamaš."]
79	[At twenty leagues they broke off a morsel;]
80	[at thirty leagues they set up the night's camp;]
81	[fifty leagues they went in a full day —]
82	[a march of a month and a half in three days — and drew near Mount Lebanon.]
83	[Facing the sun they dug a well;]
84	[water ... they set in] ...
85	[Gilgameš went up onto the] mountain;
86	[he poured out his flour-offering to the upl]ands:
87	"[Mount]ain, bring me a dre[am:] let me see [a good word of Šamaš!"]
88	Enkidu [ma]de [for him] a house of the dream-god;
89	he [fixed] a [sto]rm-do[or] in its doorway;
90	he laid him down [inside a circle ... ] a drawn design,
91	[and h]e, like a dragnet [ ... , spr]awled across its doorway.
92	[Gil]gameš propped his chin on hi[s] knees;
93	[sle]ep, which spills over people, fell upon him.
94	[In the mi]ddle watch he came to the end of his sleep;
95	he rose and spoke to his friend:
96	"My [f]riend, did you not call me? Why am I awake?
97	Did you [n]ot touch me? Why am I startled?
98	Did a god [n]ot pass? Why is my flesh gone numb?
99	My [f]riend, I have seen a third dream,
100	and the dream I saw was altogether a tangle:
101	the heavens [c]ried out; the earth was rumbling;
102	the [d]ay went dead-still; darkness came out;
103	[light]ning [fla]shed; fire broke out;
104	[the flam]es billowed up; it was raining death.
105	Then the white-hot glow [dimm]ed; the fire went out,
106	[and the embers(?)] kept falling, turned to ash.
107	[You were bo]rn in the open land: can we take counsel?"
108	Enkidu [heard the word of] his [friend,] gave his dream its meaning, saying to Gil[gameš:]
109	"[My friend,] your dream [is good; ... is] favorable [ ... ]"
a+3'	At twenty leagues they [broke off a morsel;]
a+4'	at thirty leagues they se[t up the night's camp;]
a+5'	fifty leagues they we[nt in a full day;]
a+6'	the place [ ... ]
120	[At twenty le]agues they b[roke off a morsel;]
121	[at thir]ty leagues they set up [the night's camp;]
122	[fif]ty leagues they we[nt in a full day —]
123	[a mar]ch of a month and a half in three [days —]
124	[they drew ne]ar to Mount Leb[anon.]
125	[Faci]ng the sun they du[g a well;]
126	[water ... they] set i[n ... ]
127	[Gi]lgameš [went up] on[to the mountain;]
128	[he pou]red out [his flour-offering] to the u[plands:]
129	["Mountain, bring me a dr]e[am: let me see a good word of Šamaš!"]
130	[Enkidu made for him a house of the dream-god;]
131	[he fixed a storm-door in its doorway;]
132	[he laid him down inside a circle ... a drawn design,]
133	[and he himself, like a dragnet ... , sprawled across its doorway.]
134	[Gilgameš propped his chin on his knees;]
135	[sleep, which spills over people, fell upon him.]
136	[In the middle watch he came to the end of his sleep;]
137	[he rose and spoke to his friend:]
138	["My friend, did you not call me? Why am I awake?]
139	[Did you not touch me? Why am I startled?]
140	[Did a god not pass? Why is my flesh gone numb?]
141	[My friend, I have seen a fourth dream,]
142	[and the dream I saw was altogether a tangle.]
155	"[My friend, your dr]eam [is good; ... is favorable.]
156	[ ... ] th[is ... ]
157	[ ... ] Humbaba like [ ... ]
158	[ ... they will k]indle [ ... ] against h[im;]
159	[ ... ] we will set [ ... ]; we will [bi]nd his arms;
161	[ ... ] we will stand over him,
162	[and at day]break we will s[ee] a good word of Šamaš."
163	[At] twenty leagues they broke off a morsel;
164	[at] thirty leagues they set up the night's camp;
165	[fifty leagues they w]ent in a fu[ll day.]
166	[Facing the su]n they dug a w[ell;]
167	[water ... they] set i[n ... ]
168	Gilgameš [went up] on[to the mountain;]
169	[he po]ured out [his flour-offering] to the [uplands:]
170	"[Mountain, bring me] a dream: [let me see] a word [of Šamaš, a good one!"]
171	Enkidu [made] for [him a house of the dream-god;]
172	[he fixed] a [storm-do]or [in its doorway;]
173	[he laid him down] inside a circle, a d[rawn design,]
174	[and he, like a dragnet ... , spr]awled [across its doorway.]
175	[Gilgameš] pro[pped his chin] on his [knee]s;
176	[sleep, which spills over peop]le, f[ell upon him.]
177	[In the middle watch he came to the end of his sleep;]
178	[he rose and spoke to his friend:]
179	["My friend, did you not call me? Why am I awake?]
180	[Did you not touch me? Why am I startled?]
181	[Did a god not pass? Why is my flesh gone numb?]
182	[My friend, I have seen a fifth dream,]
183	[and the dream I saw was altogether a tangle.]
b+2'	"whose mouth [ ... ]
b+3'	The young man you saw [ ... ]
b+4'	In that hour [ ... ]
b+5'	he seizes [his] wing[s ... ]
b+6'	they will kiss [ ... ]
b+7'	I [ ... ]"
210	"[They were b]orn [ ... ]"
211	Gilgameš [shaped] his mou[th to speak, saying to Enkidu:]
212	"My friend, not [ ... ]
213	were not sons bor[n ... ?"]
214	Enkidu shaped his mouth [to speak, saying to Gilgameš:]
215	"My friend — he we are going agai[nst: strange, wholly other;]
216	Humbaba, he we are [going against: strange, wholly other."]
217	Gilgameš sha[ped] his mouth [to speak, saying to Enkidu:]
218	"My [f]riend, let me sl[ay him(?) ... ]
