1'	[ ... H]uwawa
2'	[ ... ] weeps t[o ... ]
3'	"[ ... ] I loo[ked ... ]
4'	[ ... ] he seized us
5'	[ ... ] against us."
6'	En[kidu] sa[id to h]im, to Gilgameš:
7'	"Slay Huwawa, the br[igand ... ] your god(?) [ ... ]
9'	W[hy] do you set(?) mercy before him?"
10'	Gilgameš [said t]o him, to Enkidu:
11'	"Now then, my frie[nd — vic]tory we must win;
12'	yet the terror-glories slip loose in the thicket —
13'	the terror-glories slip lo[o]se, and the radiances cloud into cloud."
14'	Enkidu said to him, to Gilgameš:
15'	"My friend — catch a bird, and where do its chicks go?
16'	Let us hunt the terror-glories afterward:
17'	like chicks they will scurry about in the thicket.
18'	Him — strike him again, and slay the ser[va]nt at his side!"
19'	Gilgameš heard the word of his companion:
20'	he took the axe in his hand;
21'	he drew the sword from his belt.
22'	Gilgameš struck him in the neck;
23'	Enkidu, his friend, gave heart(?) —
24'	[ ... ] he fell;
25'	the gullies ran with his blood.
26'	Huwawa the warden he struck to the ground;
27'	for two leagues afar [ ... ]
28'	with him he slew [ ... ]
29'	the woods [ ... ]
30'	He slew the brigand, the warden of the forest,
31'	at whose cry Sirion and Lebanon were made to tre<mble>;
32'	[ ... ] the mountains;
33'	[ ... ] all the ranges quaked.
34'	He slew the brigand, the warden of the cedar,
35'	the broken [ ... ]
35'b	As soon as he had slain all seven,
36'	the war-net of t[wo] talents, and the sword of eight talents —
37'	a load of ten talents he took up —
37'b	he went down and went tram<pling> through the forest.
38'	He laid open the secret dwelling of the Anunnaki.
39'	Gilgameš felling the trees, Enkidu hunting out the best timber —
40'	Enkidu said to him, to Gilgameš:
41'	"[ ... ] Gilgameš — slay the cedar!
42'	[ ... th]at is beside you(?)
43'	[ ... ] thirty reeds long."
a+1	[ ... ] the Euphrates [ ... ]
a+2	[ ... ] the cedar.
