1	[Enkidu] was sit[ting] before her; [they kis]sed(?) —
28	girded [with a sash(?) ... ]
29	"Why [rove the open land] with the b[easts?"]
30	Taking counsel with himself [ ... ]
31	by his own reasoning [ ... ]
32	knowing his own heart, [he was looking for a friend(?).]
33	What Šamhat [ ... ]
34	one garment [for her]self [ ... ],
35	and with a second garment [she dressed] hi[m.]
36	Taking his hand, like a god she leads him
37	to the shepherds' camp, the place of the sheep-pen.
38	The band of herdsmen gathered around him,
39	talking it over among themselves:
40	"This young man — how like Gilgameš in build!
41	Tall in stature, pro[ud] as a battlement!
42	Perhaps it is he who was born in the hills;
43	his mi[ght] is as hard as a lump of the sky-rock of Anu."
44	They set bread before [him;]
45	they set beer before him.
46	Enkidu did not eat the bread; he squinted, he stared:
47	[to eat bread] Enkidu had never [been taught;]
48	[to drink beer he had never] learned.
49	[The harlot said to him, to Enk]idu:
50	["Eat the bread, Enkidu, the mark of] life(?);
51	[drink the beer, the custom of the la]nd."
59	Knowing his own heart [ ... ]
60	[He batte]red the wolves, ch[ased off] the l[ions;]
61	the [gre]at herdsmen [lay do]wn at night:
62	[En]kidu was their watchman, a wa[keful man.]
63	[A young m]an to the wedding-house(?) [ ... ]
64	inside Uruk-the-Sheepfold to [ ... ]
a+1'	the king [of Uruk-the-Sheepfold(?) ... ]
a+2'	the husband(?) [ ... ]
a+3'	and [ ... ]
100	[He took his stand] in the street of Uru[k-the-Sheepfold,]
101	[ ... ] doing feats of strength(?) [ ... ],
102	and he blocked the path [of Gilgameš.]
103	The land of Uruk was standing about hi[m,]
104	the land gathered [around him,]
105	the crowd pressing i[n up]on h[im,]
106	the young men heaped up [around him;]
107	[like a nursli]ng infant they kissed [his] feet.
108	Already the young man [ ... ]
109	for Išhara a bed [was laid ... ]
110	for Gilgameš, like a god, a coun[terpa]rt was set up.
111	Enkidu with his feet barred the door of the wedding-house;
112	he would not allow Gilgameš to enter.
113	They grappled at the door of the wedding-house;
114	they fought in the street, in the square of the land:
115	the doorposts shook, the wall quaked.
162	["In all the land] his stre[ngth is] the str[ongest;]
163	[his might is as hard as a lump] of the sky-rock of A[nu,]
164	tall [in statu]re, p[roud as a battlement."]
165	The mother of Gilgameš [shaped] her mou[th to speak,]
166	saying t[o her son] —
167	Wild-Cow Nin[sun shaped her mouth to speak, saying to Gilgameš:]
168	"My son, [ ... ]
169	bitterly [ ... ]
172	You have taken up [ ... ]
173	[ ... ] at his door [ ... ]
174	bitterly he wails(?) [ ... ]
175	Enkidu has no [kith or kin(?);]
176	his hair hangs loose [ ... ]
177	he was born in the open land, and no one [reared him."]
178	Enkidu stood there; he hear[d what she said;]
179	he thought it over, and he sa[t down weeping;]
180	his eyes brimmed with [tears;]
181	his arms went slack, his strength [ ... ]
182	They took hold of one another [ ... ],
183	and their hands like [ ... ]
184	[Gil]gameš [ ... ]
185	addressed a word [t]o Enkidu:
186	["Wh]y, my friend, did [your eyes] bri[m with tears,]
187	your [ar]ms go slack, [your] strength [ ... ?"]
188	[E]nkidu sai[d] to him, [to Gilgameš:]
189	"[My] friend — my heart is seared(?) [ ... ];
190	through weeping [my legs(?)] tre[mble;]
191	terror has [ente]red my heart."
193	Gilgameš shaped his mouth to speak, sa[ying to Enkidu:]
194	"[Per]haps, my friend, to [ ... ]
195	[ ... ] butting one another [ ... ]
196	and as for us — the wrestler's gear(?) [ ... ]
197	[ ... ] days [ ... ]
198	[ ... ] they kill [ ... ]
199	Now then, my friend, [ ... ]
200	[ ... ] in the land [ ... ]
201	[ ... ] Humbab[a ... ]
213	"Let me c[ut down the cedar(?) ... ]
214	let them shatter [ ... ]
215	whirlwind[s ... ]"
216	Enkidu [shaped] his mou[th to speak, saying to Gilgameš:]
