1	Weary, Enkidu's knees stood locked, while [his herd] mov[ed away;]
2a	but Enkidu [ha]d ear now, and wider understanding;
2b	he knel[t down and sat] before the harlot,
3a	and — no longer against his grain(?) —
3b	what the harlot was saying, [his] ears were hearing.
4	The [har]lot said to him, to Enki[du:]
5a	"[Com]e, let me lead you, Enkidu, into Uruk-of-the-Squares,
5b	to the [holy] hou[se, the seat of Anu;]
6a	[rise, let me take yo]u, Enkidu, into Uruk-of-the-Squares,
6b	to holy Eann[a, the seat of Ištar,]
7a	[where Gilgameš is, p]erfect in strength,
7b	and like a wild bull wears [the horns(?)] over the young men."
8a	[She was talking to him, and] her [sp]eech [found favor;]
8b	his heart grew great(?) in the upla[nds.]
9	[Enkidu] said [to he]r, to the har[lot:]
a+1'	"[Let me sh]ow yo[u] Gilgameš [ ... ]
a+2'a	[Let me g]o —
a+2'b	I would see your intent [ ... ]"
a+3'	[He goes i]n front, and Šamkat behin[d him.]
a+4'a	[He entered into the heart of Uruk]-of-the-Squares —
a+4'b	Enkidu, alone in [his] main strength;
a+5'a	[he stood there i]n the street,
a+5'b	and the people were gathering about [him:]
a+6'a	"[Why, he is the image of Gilgameš] in outline —
a+6'b	shorter in stature, but b[ig in the bone!]
a+7'a	[Likely it is he who was born in the h]ills:
a+7'b	the milk of the wild beasts is what he suck[ed.]"
